seed,scale,tightness_param,effective_target_tightness,max_feasible_tightness,tightness_clipped,generation_attempt,tightness_gap,tightness_warning,template_core_ratio_mean,B,L,D,total_signup,actual_tightness,feasibility_ratio,effective_books_ratio,signup_mean,signup_std,signup_min,signup_max,ship_rate_mean,ship_rate_std,score_sum,score_mean,score_std,score_variance,score_cv,score_book_freq_corr,signup_ship_rate_corr,signup_lib_size_corr,lib_size_ship_rate_corr,jaccard_overlap_mean,book_coverage,book_duplication_rate,lib_size_mean,lib_size_std,score_mean_delta_pct,score_cv_delta,signup_mean_delta_pct,ship_rate_mean_delta_pct,lib_size_mean_delta_pct,jaccard_delta,score_book_freq_corr_delta,signup_ship_rate_corr_delta,signup_lib_size_corr_delta,lib_size_ship_rate_corr_delta
be,0.75,0.2,0.2,1.0,0,0,0.0,0,0.4772,89320,737,738,3690,0.2,738.0,0.9951,5.01,2.89,1,11,1.27,0.44,8932109,100.0,12.58,158.24,0.1258,0.0057,-0.0513,0.0322,0.0232,0.0032,0.8583,0.6555,365.39,220.85,0.0,0.1258,-7.7348,-14.7651,-25.7247,0.001,0.0057,-0.0041,0.0181,-0.0008
be,0.9,0.08,0.08,1.0,0,0,0.0001,0,0.4776,100000,951,377,4719,0.0799,377.0,0.7288,4.96,2.87,1,11,1.24,0.42,9999907,100.0,12.58,158.19,0.1258,0.0016,-0.0073,0.0045,0.0197,0.0026,0.9186,0.7767,443.69,268.55,0.0,0.1258,-8.6556,-16.7785,-9.8081,0.0004,0.0016,0.0399,-0.0096,-0.0043
be,0.9,0.12,0.12,1.0,0,0,0.0,0,0.478,100000,1014,608,5068,0.12,608.0,0.9076,5.0,2.9,1,11,1.24,0.42,9999909,100.0,12.59,158.48,0.1259,0.0082,-0.0469,0.0076,-0.0476,0.0027,0.926,0.7946,444.59,268.43,0.0,0.1259,-7.919,-16.7785,-9.6252,0.0005,0.0082,0.0003,-0.0065,-0.0716
be,0.9,0.2,0.2,1.0,0,0,0.0,0,0.4775,98842,1019,1018,5091,0.2,1018.0,1.0,5.0,2.92,1,11,1.26,0.44,9884217,100.0,12.56,157.8,0.1256,0.0086,-0.0931,0.0112,0.0038,0.0025,0.9285,0.7996,442.58,264.16,0.0,0.1256,-7.919,-15.4362,-10.0337,0.0003,0.0086,-0.0459,-0.0029,-0.0202
bf,0.6,0.08,0.08,0.8746,0,0,0.0,0,0.4764,61506,695,9147,114342,0.08,365.88,1.0,164.52,81.15,25,346,7.02,1.95,6150556,100.0,12.62,159.33,0.1262,0.013,0.0061,0.0431,0.0167,0.0029,0.8912,0.7138,305.52,176.44,0.0,0.1262,-1.0049,-6.0241,-40.0165,0.0006,0.013,0.0022,-0.0113,0.0308
bf,0.6,0.12,0.12,0.8651,0,0,0.0,0,0.4766,69883,697,13870,115590,0.12,577.9167,1.0,165.84,81.67,24,345,6.93,1.85,6988240,100.0,12.62,159.26,0.1262,0.0083,0.0158,0.0341,-0.0066,0.003,0.8625,0.6663,306.41,179.82,0.0,0.1262,-0.2106,-7.2289,-39.8418,0.0007,0.0083,0.0119,-0.0203,0.0075
bf,0.6,0.2,0.2,0.8074,0,0,0.0,0,0.4755,63108,739,24769,123849,0.2,952.6538,1.0,167.59,80.85,26,348,6.87,1.89,6310832,100.0,12.58,158.22,0.1258,0.0066,0.0064,0.0344,0.001,0.0021,0.8946,0.7245,305.74,178.65,0.0,0.1258,0.8424,-8.0321,-39.9733,-0.0002,0.0066,0.0025,-0.02,0.0151
bf,0.75,0.08,0.08,0.789,0,0,0.0,0,0.4762,77459,770,10139,126738,0.08,422.4583,1.0,164.59,82.54,24,347,6.93,1.91,7745922,100.0,12.62,159.25,0.1262,0.008,-0.0038,0.0572,0.0165,0.0031,0.9046,0.7455,381.62,227.34,0.0,0.1262,-0.9628,-7.2289,-25.0756,0.0008,0.008,-0.0077,0.0028,0.0306
bf,0.75,0.12,0.12,0.756,0,0,0.0,0,0.476,91837,804,15872,132267,0.12,610.4615,1.0,164.51,82.17,26,345,7.03,1.94,9183787,100.0,12.61,158.95,0.1261,0.0108,-0.001,0.063,0.0111,0.0028,0.8799,0.6956,380.58,219.62,0.0,0.1261,-1.0109,-5.8902,-25.2798,0.0005,0.0108,-0.0049,0.0086,0.0252
bf,0.75,0.2,0.2,0.7502,0,0,0.0,0,0.4759,84818,796,26660,133302,0.2,1066.4,1.0,167.46,82.66,25,351,7.0,1.97,8481847,100.0,12.55,157.55,0.1255,0.0059,-0.0435,0.0689,-0.0647,0.0028,0.8948,0.7264,387.0,226.47,0.0,0.1255,0.7642,-6.2918,-24.0193,0.0005,0.0059,-0.0474,0.0145,-0.0506
bf,0.9,0.08,0.08,0.6817,0,0,0.0,0,0.4772,100000,884,11736,146702,0.08,469.44,1.0,165.95,81.74,25,355,6.99,1.96,10000034,100.0,12.59,158.44,0.1259,0.0132,-0.027,0.0896,-0.0151,0.0029,0.9127,0.7639,459.9,268.88,0.0,0.1259,-0.1444,-6.4257,-9.7067,0.0006,0.0132,-0.0309,0.0352,-0.001
bf,0.9,0.12,0.12,0.5583,0,0,0.0,0,0.4768,87536,1076,21494,179119,0.12,895.5833,1.0,166.47,81.54,24,351,7.0,1.95,8753600,100.0,12.6,158.81,0.126,0.0066,-0.0018,0.0743,-0.0095,0.003,0.9524,0.8596,460.29,272.67,0.0,0.126,0.1685,-6.2918,-9.6301,0.0007,0.0066,-0.0057,0.0199,0.0046
bf,0.9,0.2,0.2,0.6681,0,0,0.0,0,0.4766,84605,909,29937,149687,0.2,1151.4231,1.0,164.67,81.52,26,354,6.95,1.94,8460453,100.0,12.6,158.68,0.126,0.003,0.0109,0.0573,-0.0248,0.0033,0.9417,0.8284,453.28,267.5,0.0,0.126,-0.9146,-6.9612,-11.0064,0.001,0.003,0.007,0.0029,-0.0107
cd,0.6,0.08,0.08,1.0,0,0,0.0,0,0.2944,65305,18474,2214,27680,0.08,2214.0,1.0,1.5,0.5,1,2,1.0,0.0,19642010,300.77,177.07,31352.71,0.5887,0.3435,0.0,0.0033,0.0,0.0,0.5236,0.2276,3.91,1.33,0.0033,0.014,-25.0,0.0,-46.875,0.0,0.3425,0.0,0.0033,0.0
cd,0.6,0.12,0.12,1.0,0,0,0.0,0,0.2928,70200,20167,3627,30233,0.12,3627.0,1.0,1.5,0.5,1,2,1.0,0.0,21114335,300.77,177.49,31502.72,0.5901,0.3446,0.0,-0.0029,0.0,0.0,0.5283,0.2338,3.92,1.32,0.0033,0.0154,-25.0,0.0,-46.7391,0.0,0.3436,0.0,-0.0029,0.0
cd,0.6,0.2,0.2,1.0,0,0,0.0,0,0.2903,55987,20313,6092,30462,0.2,6092.0,1.0,1.5,0.5,1,2,1.0,0.0,16839284,300.77,177.84,31628.08,0.5913,0.3563,0.0,-0.0134,0.0,0.0,0.5999,0.2977,3.92,1.32,0.0033,0.0166,-25.0,0.0,-46.7391,0.0,0.3553,0.0,-0.0134,0.0
cd,0.75,0.08,0.08,1.0,0,0,0.0,0,0.2263,70171,24115,2897,36224,0.08,2897.0,1.0,1.5,0.5,1,2,1.0,0.0,21105577,300.77,178.03,31693.53,0.5919,0.3532,0.0,0.0061,0.0,0.0,0.679,0.3835,5.03,1.65,0.0033,0.0172,-25.0,0.0,-31.6576,0.0,0.3522,0.0,0.0061,0.0
cd,0.75,0.12,0.12,1.0,0,0,0.0,0,0.2276,77369,27110,4882,40691,0.12,4882.0,1.0,1.5,0.5,1,2,1.0,0.0,23270594,300.77,178.16,31739.73,0.5923,0.3512,0.0,0.0049,0.0,0.0,0.6852,0.3895,5.02,1.66,0.0033,0.0176,-25.0,0.0,-31.7935,0.0,0.3502,0.0,0.0049,0.0
cd,0.75,0.2,0.2,1.0,0,0,0.0,0,0.2271,85411,22535,6754,33773,0.2,6754.0,1.0,1.5,0.5,1,2,1.0,0.0,25689504,300.78,177.23,31411.86,0.5893,0.3375,0.0,-0.0029,0.0,0.0,0.5988,0.2957,5.03,1.66,0.0066,0.0146,-25.0,0.0,-31.6576,0.0,0.3365,0.0,-0.0029,0.0
cd,0.9,0.08,0.08,1.0,0,0,0.0,0,0.1897,83152,31178,3745,46822,0.08,3745.0,1.0,1.5,0.5,1,2,1.0,0.0,25009892,300.77,177.08,31356.72,0.5887,0.3668,0.0,-0.015,0.0,0.0,0.7686,0.5034,6.11,1.95,0.0033,0.014,-25.0,0.0,-16.9837,0.0,0.3658,0.0,-0.015,0.0
cd,0.9,0.12,0.12,1.0,0,0,0.0,0,0.1896,100000,30557,5499,45830,0.12,5499.0,1.0,1.5,0.5,1,2,1.0,0.0,30077324,300.77,178.11,31723.61,0.5922,0.3598,0.0,-0.0039,0.0,0.002,0.711,0.4247,6.12,1.96,0.0033,0.0175,-25.0,0.0,-16.8478,0.002,0.3588,0.0,-0.0039,0.0
cd,0.9,0.2,0.2,1.0,0,0,0.0,0,0.1896,100000,32709,9817,49085,0.2,9817.0,1.0,1.5,0.5,1,2,1.0,0.0,30077213,300.77,177.41,31475.14,0.5899,0.3565,0.0,-0.0003,0.0,0.0,0.7298,0.4505,6.12,1.96,0.0033,0.0152,-25.0,0.0,-16.8478,0.0,0.3555,0.0,-0.0003,0.0
ce,0.6,0.08,0.08,1.0,0,0,0.0001,0,0.4766,60503,603,238,2980,0.0799,238.0,0.7035,4.94,2.88,1,11,1.25,0.43,18197555,300.77,177.83,31623.02,0.5912,0.0863,-0.0309,0.0007,-0.0261,0.0027,0.8923,0.7032,298.43,175.44,0.0033,0.0165,-9.0239,-16.1074,-39.3361,0.0005,0.0894,0.0163,-0.0134,-0.0501
ce,0.6,0.12,0.12,1.0,0,0,0.0002,0,0.4776,69662,649,396,3305,0.1198,396.0,0.899,5.09,2.91,1,11,1.25,0.43,20952386,300.77,177.58,31534.67,0.5904,0.0869,-0.0574,0.0403,-0.0287,0.0022,0.8735,0.6712,297.26,178.88,0.0033,0.0157,-6.2615,-16.1074,-39.5739,0.0,0.09,-0.0102,0.0262,-0.0527
ce,0.6,0.2,0.2,1.0,0,0,0.0003,0,0.477,70655,624,618,3094,0.1997,618.0,0.9965,4.96,2.92,1,11,1.25,0.43,21251418,300.78,177.54,31520.21,0.5903,0.0844,-0.0518,-0.0224,-0.0301,0.0026,0.8615,0.6424,293.22,173.16,0.0066,0.0156,-8.6556,-16.1074,-40.3952,0.0004,0.0875,-0.0046,-0.0365,-0.0541
ce,0.75,0.08,0.08,1.0,0,0,0.0001,0,0.4785,70491,795,313,3917,0.0799,313.0,0.7327,4.93,2.93,1,11,1.26,0.44,21201852,300.77,177.67,31565.32,0.5907,0.0901,-0.0539,0.0356,0.0239,0.0031,0.9457,0.8275,369.73,222.36,0.0033,0.016,-9.2081,-15.4362,-24.8425,0.0009,0.0932,-0.0067,0.0215,-0.0001
ce,0.75,0.12,0.12,1.0,0,0,0.0002,0,0.4777,70079,781,462,3857,0.1198,462.0,0.8842,4.94,2.91,1,11,1.23,0.42,21077870,300.77,177.52,31512.3,0.5902,0.0978,0.0064,-0.0081,0.0315,0.003,0.9426,0.8206,367.61,220.56,0.0033,0.0155,-9.0239,-17.4497,-25.2734,0.0008,0.1009,0.0536,-0.0222,0.0075
ce,0.75,0.2,0.2,1.0,0,0,0.0002,0,0.4785,82461,772,756,3784,0.1998,756.0,0.995,4.9,2.94,1,11,1.25,0.43,24801984,300.77,177.27,31426.42,0.5894,0.0839,-0.0221,0.0029,0.0288,0.0028,0.9172,0.7595,372.81,223.24,0.0033,0.0147,-9.7606,-16.1074,-24.2164,0.0006,0.087,0.0251,-0.0112,0.0048
ce,0.9,0.08,0.08,1.0,0,0,0.0002,0,0.4781,100000,971,387,4849,0.0798,387.0,0.744,4.99,2.92,1,11,1.25,0.43,30077340,300.77,177.68,31570.57,0.5907,0.0946,-0.0191,0.0221,-0.0081,0.0019,0.9459,0.8301,440.38,265.43,0.0033,0.016,-8.1031,-16.1074,-10.481,-0.0003,0.0977,0.0281,0.008,-0.0321
ce,0.9,0.12,0.12,1.0,0,0,0.0001,0,0.4776,100000,1079,644,5370,0.1199,644.0,0.9351,4.98,2.9,1,11,1.25,0.43,30077305,300.77,177.57,31529.67,0.5904,0.0958,-0.0652,0.0265,0.0168,0.0023,0.956,0.8614,444.15,263.8,0.0033,0.0157,-8.2873,-16.1074,-9.7146,0.0001,0.0989,-0.018,0.0124,-0.0072
ce,0.9,0.2,0.2,1.0,0,0,0.0,0,0.4779,86076,852,841,4205,0.2,841.0,0.9909,4.94,2.92,1,11,1.23,0.42,25888948,300.77,176.76,31242.83,0.5877,0.0891,-0.0173,-0.0009,0.0368,0.0025,0.9492,0.8386,438.98,260.6,0.0033,0.013,-9.0239,-17.4497,-10.7655,0.0003,0.0922,0.0299,-0.015,0.0128
cf,0.6,0.08,0.08,1.0,0,0,0.0,0,0.4761,54983,616,7942,99281,0.08,330.9167,1.0,161.17,79.3,24,352,6.87,1.91,16537592,300.78,177.96,31668.77,0.5917,0.0858,-0.0231,0.016,0.0235,0.0032,0.9207,0.7674,309.88,177.76,0.0066,0.017,-3.0206,-8.0321,-39.1605,0.0009,0.0913,-0.027,-0.0384,0.0376
cf,0.6,0.12,0.12,0.8984,0,0,0.0,0,0.4768,60188,685,13357,111310,0.12,556.5417,1.0,162.5,81.82,24,344,6.98,1.97,18103198,300.78,177.49,31501.57,0.5901,0.0867,-0.0232,0.0264,0.0112,0.002,0.9143,0.7574,298.46,179.99,0.0066,0.0154,-2.2204,-6.5596,-41.4026,-0.0003,0.0922,-0.0271,-0.028,0.0253
cf,0.6,0.2,0.2,0.8932,0,0,0.0,0,0.477,57420,680,22392,111961,0.2,895.68,1.0,164.65,81.36,25,349,6.98,1.89,17270561,300.78,177.58,31534.84,0.5904,0.0885,-0.0089,0.0324,-0.0005,0.0034,0.9245,0.7767,303.48,175.12,0.0066,0.0157,-0.9267,-6.5596,-40.417,0.0011,0.094,-0.0128,-0.022,0.0136
cf,0.75,0.08,0.08,0.8595,0,0,0.0,0,0.4773,89531,695,9308,116353,0.08,387.8333,1.0,167.41,81.76,24,353,6.88,1.92,26928474,300.77,177.31,31438.34,0.5895,0.08,0.0015,0.0825,-0.0224,0.0026,0.8908,0.7009,384.61,217.32,0.0033,0.0148,0.7341,-7.8983,-24.4886,0.0003,0.0855,-0.0024,0.0281,-0.0083
cf,0.75,0.12,0.12,0.6821,0,0,0.0,0,0.4767,85315,893,17592,146603,0.12,703.68,1.0,164.17,81.12,25,356,6.99,1.94,25660435,300.77,177.55,31523.32,0.5903,0.0922,-0.0155,0.0653,-0.0201,0.0019,0.9357,0.8067,381.11,222.06,0.0033,0.0156,-1.2155,-6.4257,-25.1757,-0.0004,0.0977,-0.0194,0.0109,-0.006
cf,0.75,0.2,0.2,0.7072,0,0,0.0,0,0.4763,75957,845,28281,141409,0.2,1047.4444,1.0,167.35,81.09,27,351,6.9,1.91,22845756,300.77,177.88,31640.09,0.5914,0.0864,-0.0017,0.0374,-0.0199,0.0022,0.9478,0.833,383.92,226.86,0.0033,0.0167,0.698,-7.6305,-24.624,-0.0001,0.0919,-0.0056,-0.017,-0.0058
cf,0.9,0.08,0.08,0.557,0,0,0.0,0,0.4771,93767,1081,14363,179544,0.08,574.52,1.0,166.09,82.05,25,353,6.93,1.91,28202456,300.77,177.01,31331.47,0.5885,0.1003,-0.0016,0.0596,-0.0226,0.0025,0.9659,0.8853,456.58,266.62,0.0033,0.0138,-0.0602,-7.2289,-10.3585,0.0002,0.1058,-0.0055,0.0052,-0.0085
cf,0.9,0.12,0.12,0.6662,0,0,0.0,0,0.4771,99017,899,18013,150116,0.12,667.1481,1.0,166.98,82.54,27,350,7.05,1.92,29781878,300.78,176.99,31324.13,0.5884,0.094,0.0083,0.0576,0.0232,0.0025,0.94,0.8153,449.35,263.87,0.0066,0.0137,0.4754,-5.6225,-11.778,0.0002,0.0995,0.0044,0.0032,0.0373
cf,0.9,0.2,0.2,0.7156,0,0,0.0,0,0.4778,83020,846,27948,139744,0.2,1164.5,1.0,165.18,81.99,24,352,6.98,1.97,24970253,300.77,177.6,31540.35,0.5905,0.093,-0.0084,0.0497,-0.03,0.0028,0.9577,0.8602,458.61,266.7,0.0033,0.0158,-0.6077,-6.5596,-9.9599,0.0005,0.0985,-0.0123,-0.0047,-0.0159
de,0.6,0.08,0.08,1.0,0,0,0.0002,0,0.4773,56881,690,275,3445,0.0798,275.0,0.7657,4.99,2.9,1,11,1.24,0.43,3697273,65.0,8.18,66.93,0.1259,-0.0022,-0.0348,-0.0046,0.019,0.0028,0.8874,0.7188,302.33,179.18,0.0,0.1259,-8.1031,-16.7785,-38.5433,0.0006,-0.0022,0.0124,-0.0187,-0.005
de,0.6,0.12,0.12,1.0,0,0,0.0,0,0.4783,56743,725,426,3550,0.12,426.0,0.9329,4.9,2.91,1,11,1.23,0.42,3688378,65.0,8.2,67.24,0.1261,0.0062,0.0544,0.0365,0.0572,0.0037,0.8925,0.7283,294.84,173.3,0.0,0.1261,-9.7606,-17.4497,-40.0659,0.0015,0.0062,0.1016,0.0224,0.0332
de,0.6,0.2,0.2,1.0,0,0,0.0002,0,0.4758,46779,636,657,3288,0.1998,657.0,0.9989,5.17,2.95,1,11,1.23,0.42,3040536,65.0,8.18,66.95,0.1259,0.0066,-0.0315,0.0151,-0.051,0.004,0.915,0.7763,302.59,177.84,0.0,0.1259,-4.7882,-17.4497,-38.4905,0.0018,0.0066,0.0157,0.001,-0.075
de,0.75,0.08,0.08,1.0,0,0,0.0001,0,0.4773,69117,888,355,4443,0.0799,355.0,0.7915,5.0,2.96,1,11,1.25,0.43,4492522,65.0,8.2,67.22,0.1261,0.0032,-0.0403,0.004,0.0643,0.003,0.9269,0.8016,369.98,219.59,0.0,0.1261,-7.919,-16.1074,-24.7916,0.0008,0.0032,0.0069,-0.0101,0.0403
de,0.75,0.12,0.12,1.0,0,0,0.0001,0,0.4776,63095,755,458,3819,0.1199,458.0,0.8879,5.06,2.93,1,11,1.28,0.45,4101180,65.0,8.17,66.77,0.1257,0.0076,-0.0648,0.0243,0.0464,0.0044,0.9221,0.7903,371.87,221.36,0.0,0.1257,-6.814,-14.094,-24.4074,0.0022,0.0076,-0.0176,0.0102,0.0224
de,0.75,0.2,0.2,1.0,0,0,0.0002,0,0.4768,57554,789,795,3979,0.1998,795.0,0.9986,5.04,2.92,1,11,1.26,0.44,3740992,65.0,8.17,66.68,0.1256,-0.0008,-0.0522,0.0249,0.0147,0.0038,0.9415,0.8348,369.0,223.02,0.0,0.1256,-7.1823,-15.4362,-24.9909,0.0016,-0.0008,-0.005,0.0108,-0.0093
de,0.9,0.08,0.08,1.0,0,0,0.0002,0,0.4763,75180,894,357,4473,0.0798,357.0,0.7104,5.0,2.88,1,11,1.22,0.42,4886672,65.0,8.17,66.75,0.1257,0.005,0.0059,0.0244,0.0419,0.003,0.9419,0.8344,438.78,265.68,0.0,0.1257,-7.919,-18.1208,-10.8062,0.0008,0.005,0.0531,0.0103,0.0179
de,0.9,0.12,0.12,1.0,0,0,0.0001,0,0.4767,67774,1021,615,5130,0.1199,615.0,0.9172,5.02,2.91,1,11,1.24,0.43,4405289,65.0,8.18,66.87,0.1258,0.0021,-0.0094,0.0065,0.0051,0.004,0.9675,0.8994,444.3,265.01,0.0,0.1258,-7.5506,-16.7785,-9.6841,0.0018,0.0021,0.0378,-0.0076,-0.0189
de,0.9,0.2,0.2,1.0,0,0,0.0001,0,0.4762,74720,1078,1078,5392,0.1999,1078.0,1.0,5.0,2.92,1,11,1.25,0.44,4856891,65.0,8.15,66.47,0.1254,0.0139,-0.0354,-0.0057,0.0104,0.0035,0.959,0.8774,438.57,265.27,0.0,0.1254,-7.919,-16.1074,-10.8489,0.0013,0.0139,0.0118,-0.0198,-0.0136
df,0.6,0.08,0.08,0.822,0,0,0.0,0,0.4754,48721,729,9732,121655,0.08,374.3077,1.0,166.88,82.23,26,348,6.9,1.96,3166778,65.0,8.21,67.36,0.1263,-0.0048,-0.0217,0.0385,-0.0104,0.0041,0.926,0.7977,302.82,179.13,0.0,0.1263,0.4152,-7.6305,-40.5466,0.0018,-0.0048,-0.0256,-0.0159,0.0037
df,0.6,0.12,0.12,0.8302,0,0,0.0,0,0.4754,52214,724,14453,120446,0.12,602.2083,1.0,166.36,81.48,24,354,6.86,1.88,3393888,65.0,8.17,66.78,0.1257,0.0058,0.0296,0.062,-0.0102,0.0038,0.9145,0.7753,307.25,177.62,0.0,0.1257,0.1023,-8.166,-39.6768,0.0015,0.0058,0.0257,0.0076,0.0039
df,0.6,0.2,0.2,0.914,0,0,0.0,0,0.4748,51925,669,21880,109404,0.2,875.2,1.0,163.53,81.89,25,351,6.95,1.94,3375103,65.0,8.19,67.01,0.1259,0.0098,-0.0062,0.0587,-0.0213,0.0033,0.9037,0.7531,306.98,179.37,0.0,0.1259,-1.6006,-6.9612,-39.7298,0.001,0.0098,-0.0101,0.0043,-0.0072
df,0.75,0.08,0.08,0.8422,0,0,0.0,0,0.4755,54729,727,9499,118740,0.08,379.96,1.0,163.33,81.93,25,359,7.05,1.95,3557325,65.0,8.19,67.12,0.126,0.0031,0.0547,0.0343,-0.038,0.0059,0.9461,0.8441,387.08,227.32,0.0,0.126,-1.7209,-5.6225,-24.0036,0.0036,0.0031,0.0508,-0.0201,-0.0239
df,0.75,0.12,0.12,0.687,0,0,0.0,0,0.4747,56207,878,17466,145558,0.12,727.75,1.0,165.78,81.83,24,348,6.94,1.9,3653484,65.0,8.2,67.17,0.1261,0.0065,0.0002,0.0886,0.0081,0.0041,0.9605,0.879,382.18,223.12,0.0,0.1261,-0.2467,-7.095,-24.9656,0.0018,0.0065,-0.0037,0.0342,0.0222
df,0.75,0.2,0.2,0.6736,0,0,0.0,0,0.4753,63536,895,29690,148450,0.2,1141.9231,1.0,165.87,80.95,26,358,6.95,1.9,4129779,65.0,8.18,66.97,0.1259,0.0053,0.0114,0.0394,0.0166,0.0027,0.9448,0.8401,376.99,222.34,0.0,0.1259,-0.1926,-6.9612,-25.9846,0.0004,0.0053,0.0075,-0.015,0.0307
df,0.9,0.08,0.08,0.6626,0,0,0.0,0,0.4754,86833,915,12072,150912,0.08,447.1111,1.0,164.93,81.91,27,351,6.99,1.96,5644002,65.0,8.19,67.1,0.126,0.1057,0.0039,0.0615,0.0056,0.0025,0.9249,0.8034,461.73,267.27,0.0,0.126,-0.7582,-6.4257,-9.3474,0.0002,0.1057,0.0,0.0071,0.0197
df,0.9,0.12,0.12,0.6793,0,0,0.0,0,0.4756,78475,881,17664,147208,0.12,630.8571,1.0,167.09,81.3,28,352,6.93,1.93,5100921,65.0,8.18,66.89,0.1258,0.0064,0.0012,0.0551,0.0254,0.003,0.9372,0.8265,453.62,264.93,0.0,0.1258,0.5415,-7.2289,-10.9396,0.0007,0.0064,-0.0027,0.0007,0.0395
df,0.9,0.2,0.2,0.6705,0,0,0.0,0,0.4765,75013,900,29827,149138,0.2,1242.7917,1.0,165.71,82.12,24,354,6.94,1.9,4875808,65.0,8.2,67.29,0.1262,0.0144,0.0283,0.0513,-0.0284,0.0042,0.9486,0.851,459.41,268.16,0.0,0.1262,-0.2888,-7.095,-9.8029,0.0019,0.0144,0.0244,-0.0031,-0.0143
ef,0.6,0.08,0.08,0.9817,0,0,0.0,0,0.4758,61377,617,8149,101864,0.08,325.96,1.0,165.1,82.7,25,351,6.97,1.9,7702250,125.49,73.84,5452.2,0.5884,0.1272,-0.0241,0.0794,0.0089,0.0026,0.9131,0.7435,307.33,180.26,0.0,0.0145,-0.6559,-6.6934,-39.6611,0.0003,0.1251,-0.028,0.025,0.023
ef,0.6,0.12,0.12,1.0,0,0,0.0,0,0.4759,60597,532,10587,88226,0.12,441.125,1.0,165.84,82.31,24,348,6.96,1.96,7604443,125.49,74.18,5502.87,0.5911,0.122,0.0021,0.0666,0.0081,0.0023,0.8878,0.6823,304.45,179.22,0.0,0.0172,-0.2106,-6.8273,-40.2266,0.0,0.1199,-0.0018,0.0122,0.0222
ef,0.6,0.2,0.2,0.8511,0,0,0.0,0,0.4771,58606,701,23498,117492,0.2,979.0833,1.0,167.61,82.25,24,349,6.93,1.92,7354702,125.49,74.2,5506.37,0.5913,0.1349,-0.0264,0.0253,-0.0257,0.0026,0.9409,0.8104,307.84,179.18,0.0,0.0174,0.8544,-7.2289,-39.561,0.0003,0.1328,-0.0303,-0.0291,-0.0116
ef,0.75,0.08,0.08,1.0,0,0,0.0,0,0.4773,74116,602,7891,98641,0.08,315.64,1.0,163.86,82.22,25,349,6.95,1.86,9300765,125.49,73.82,5448.98,0.5882,0.129,0.0154,0.0261,-0.0415,0.0021,0.9161,0.7486,384.63,226.11,0.0,0.0143,-1.402,-6.9612,-24.4846,-0.0002,0.1269,0.0115,-0.0283,-0.0274
ef,0.75,0.12,0.12,0.7508,0,0,0.0,0,0.4774,68733,806,15983,133195,0.12,639.32,1.0,165.25,82.17,25,352,6.94,1.87,8625374,125.49,73.88,5458.77,0.5888,0.1469,-0.0137,0.0697,-0.0185,0.0024,0.9616,0.8691,377.32,225.43,0.0,0.0149,-0.5656,-7.095,-25.9198,0.0001,0.1448,-0.0176,0.0153,-0.0044
ef,0.75,0.2,0.2,0.8214,0,0,0.0,0,0.4757,65291,733,24348,121744,0.2,936.4615,1.0,166.09,82.38,26,350,6.89,1.88,8193482,125.49,74.09,5489.07,0.5904,0.1394,-0.004,0.067,0.016,0.0027,0.9614,0.862,381.28,222.95,0.0,0.0165,-0.0602,-7.7644,-25.1423,0.0004,0.1373,-0.0079,0.0126,0.0301
ef,0.9,0.08,0.08,0.8141,0,0,0.0,0,0.4768,96192,742,9826,122835,0.08,393.04,1.0,165.55,80.54,25,356,6.88,1.9,12070961,125.49,73.85,5453.87,0.5885,0.1317,-0.0628,0.0748,-0.047,0.0023,0.9328,0.7914,455.99,267.58,0.0,0.0146,-0.3851,-7.8983,-10.4743,0.0,0.1296,-0.0667,0.0204,-0.0329
ef,0.9,0.12,0.12,0.5978,0,0,0.0,0,0.4765,74028,1005,20075,167293,0.12,772.1154,1.0,166.46,82.49,26,355,6.99,1.9,9289814,125.49,73.82,5449.75,0.5883,0.1556,-0.0103,0.0651,-0.015,0.0027,0.9854,0.9418,459.15,267.41,0.0,0.0144,0.1625,-6.4257,-9.8539,0.0004,0.1535,-0.0142,0.0107,-0.0009
ef,0.9,0.2,0.2,0.5939,0,0,0.0,0,0.4771,87639,1019,33678,168392,0.2,1347.12,1.0,165.25,81.08,25,351,6.98,1.97,10997705,125.49,73.99,5473.84,0.5896,0.1561,0.0165,0.0743,-0.0001,0.0028,0.976,0.9133,465.26,273.88,0.0,0.0157,-0.5656,-6.5596,-8.6543,0.0005,0.154,0.0126,0.0199,0.014
