dataset,instance_name,books,libraries,days,book_occurrences,available_books,available_score,avg_book_value,avg_frequency,avg_signup,avg_rate,max_books_in_library
synthetic,synthetic_122.txt,100000,5565,24989,999974,756,195177,253.55151,1322.7169312169312,286.0,2483.0,180
synthetic,synthetic_123.txt,62581,1498,810,906286,708,184593,257.109522059411,1280.0649717514125,129.0,11.0,605
synthetic,synthetic_124.txt,100000,5060,55238,999942,604,152432,262.00122,1655.5331125827815,266.0,29422.0,198
synthetic,synthetic_125.txt,100000,6706,54523,999889,941,330735,344.13081,1062.5812964930924,235.0,27124.0,150
synthetic,synthetic_126.txt,96658,652,710,323958,1114,658436,569.4832088394132,290.80610412926393,86.0,5.0,497
synthetic,synthetic_127.txt,52700,13204,71750,200371,229,100386,431.45593927893736,874.9825327510918,640.0,43910.0,16
synthetic,synthetic_128.txt,67560,506,657,360952,925,265349,273.98519834221435,390.21837837837836,231.0,8.0,714
synthetic,synthetic_129.txt,100000,11288,54380,141622,335,65748,216.24808,422.75223880597014,436.0,37088.0,13
synthetic,synthetic_13.txt,100000,9058,13312,912085,535,208710,388.54476,1704.8317757009345,296.0,34275.0,101
synthetic,synthetic_130.txt,100000,3352,91540,999871,770,226911,284.65826,1298.5337662337663,53.0,19313.0,299
synthetic,synthetic_131.txt,100000,6273,11726,999863,804,308804,389.53558,1243.6106965174129,97.0,15127.0,160
synthetic,synthetic_132.txt,100000,1695,19983,999917,37046,10384004,279.57106,26.991227123036225,135.0,15249.0,590
synthetic,synthetic_133.txt,100000,40,711,123315,59997,9977291,166.5514,2.055352767638382,3.0,698.0,3083
synthetic,synthetic_134.txt,95315,6875,100000,63311,309,131286,415.0961863295389,204.88996763754045,278.0,56059.0,10
synthetic,synthetic_135.txt,100000,6227,36992,740157,919,217206,233.59378,805.3939064200217,455.0,41302.0,119
synthetic,synthetic_136.txt,91531,8824,87845,999886,364,186737,515.0336607269668,2746.9395604395604,396.0,12648.0,114
synthetic,synthetic_137.txt,100000,5494,20718,999950,842,129405,157.07215,1187.5890736342042,253.0,24767.0,183
synthetic,synthetic_138.txt,100000,5332,37620,999964,662,197496,300.1325,1510.5196374622356,290.0,12366.0,188
synthetic,synthetic_139.txt,100000,3699,45679,999909,465,117382,261.34928,2150.341935483871,196.0,24275.0,271
synthetic,synthetic_14.txt,79448,6296,52504,999918,265,17852,65.59832846641828,3773.275471698113,194.0,19636.0,159
synthetic,synthetic_15.txt,1271,3,130,2433,1201,49747,41.3375295043273,2.0258118234804328,4.0,166.0,811
synthetic,synthetic_16.txt,62104,34,1686,117248,50386,30581672,606.991482030143,2.3269955940142104,33.0,1054.0,3449
synthetic,synthetic_17.txt,96604,29302,87999,270959,905,108058,117.45359405407643,299.4022099447514,127.0,5613.0,10
synthetic,synthetic_18.txt,100000,70,569,299622,91530,18567931,202.81179,3.2734841035725992,11.0,865.0,4281
synthetic,synthetic_19.txt,89073,7219,53322,999926,292,129044,446.55874395159026,3424.404109589041,382.0,25453.0,139
synthetic,synthetic_2.txt,70927,560,26166,985110,70926,28431059,400.85311658465747,13.889264867608494,472.0,25028.0,1760
synthetic,synthetic_20.txt,38270,745,73522,566103,38270,31034336,810.9311732427489,14.792343872484976,485.0,18770.0,760
synthetic,synthetic_21.txt,96761,45,748,404826,94608,11430241,120.73082130197083,4.278982749873161,2.0,2012.0,8997
synthetic,synthetic_22.txt,97156,13548,47907,177553,572,121336,206.25614475688585,310.40734265734267,454.0,18358.0,14
synthetic,synthetic_23.txt,100000,1000,253,496658,960,262197,282.90879,517.3520833333333,44.0,7.0,497
synthetic,synthetic_24.txt,21546,4,370,26460,16500,11035511,668.3326371484267,1.6036363636363635,46.0,44.0,6615
synthetic,synthetic_25.txt,100000,4832,60494,999845,719,244295,340.76699,1390.605006954103,235.0,13181.0,207
synthetic,synthetic_26.txt,100000,5996,10205,999981,477,226322,486.63527,2096.396226415094,43.0,20997.0,167
synthetic,synthetic_27.txt,53345,381,2688,998751,53345,30609833,573.8088480644859,18.722485706251756,22.0,1012.0,2622
synthetic,synthetic_28.txt,100000,8649,24944,999888,523,144799,263.68364,1911.831739961759,86.0,43348.0,116
synthetic,synthetic_29.txt,75182,11747,56844,253538,320,116926,369.67548083317814,792.30625,517.0,69242.0,22
synthetic,synthetic_3.txt,100000,8015,19227,999884,99994,12325659,123.26465,9.999439966397984,468.0,14861.0,125
synthetic,synthetic_30.txt,3324,1,1519,2565,2565,2282117,890.9413357400722,1.0,151.0,10.0,2565
synthetic,synthetic_31.txt,100000,795,160,354100,1381,127202,92.62935,256.40839971035484,4.0,1.0,446
synthetic,synthetic_32.txt,90681,6950,93376,711140,258,69150,290.04103395419105,2756.3565891472867,236.0,3551.0,103
synthetic,synthetic_33.txt,44846,7848,38053,999901,44846,32014917,713.8856754225571,22.29632520180172,154.0,42730.0,128
synthetic,synthetic_34.txt,27853,4361,52602,999955,27853,9028077,324.1330197824292,35.90115965964169,314.0,25030.0,230
synthetic,synthetic_35.txt,100000,1111,64501,239657,663,163375,247.75206,361.473604826546,35.0,44471.0,216
synthetic,synthetic_36.txt,81648,4002,28159,999764,288,163108,569.188859494415,3471.402777777778,142.0,42175.0,250
synthetic,synthetic_37.txt,99757,3419,24047,145285,162,15876,98.0,896.820987654321,10.0,1.0,43
synthetic,synthetic_38.txt,100000,6140,6435,183563,784,253786,316.15785,234.13647959183675,171.0,37090.0,30
synthetic,synthetic_39.txt,100000,9426,78040,999975,828,232545,279.5087,1207.6992753623188,419.0,4712.0,107
synthetic,synthetic_4.txt,100000,8848,19902,342760,169,31581,188.70865,2028.1656804733727,238.0,27161.0,39
synthetic,synthetic_40.txt,100000,11426,50649,241386,631,236992,363.50038,382.54516640253564,520.0,34595.0,22
synthetic,synthetic_41.txt,91144,149,1112,196563,80721,8233542,102.0,2.435091240197718,16.0,1.0,1320
synthetic,synthetic_42.txt,100000,245,2010,731192,99384,36971440,372.0297,7.357240602108991,28.0,603.0,2985
synthetic,synthetic_43.txt,78211,12305,55715,106394,238,94235,383.8935316004143,447.03361344537814,262.0,53550.0,9
synthetic,synthetic_44.txt,100000,1407,48747,999737,847,280437,324.60489,1180.327036599764,363.0,32832.0,711
synthetic,synthetic_45.txt,25859,9307,44152,999994,20752,11254939,542.8830194516416,48.18783731688512,145.0,40128.0,108
synthetic,synthetic_46.txt,100000,331,86428,562171,97746,26857717,274.98061,5.751345323593805,96.0,45154.0,1699
synthetic,synthetic_47.txt,27464,2210,16678,999666,27464,10534957,383.5915016020973,36.39914069327119,250.0,7083.0,453
synthetic,synthetic_48.txt,100000,1399,85923,185378,677,231592,336.07713,273.8227474150665,393.0,25711.0,133
synthetic,synthetic_49.txt,100000,6811,81476,110803,438,105309,235.77677,252.97488584474885,577.0,47622.0,17
synthetic,synthetic_5.txt,46509,7033,6753,747354,150,28639,193.85690941538198,4982.36,52.0,26366.0,107
synthetic,synthetic_50.txt,96585,22085,88451,288681,484,142479,294.67157426101363,596.448347107438,294.0,14331.0,14
synthetic,synthetic_51.txt,94733,25455,45531,362775,473,126759,266.1093177667761,766.9661733615222,172.0,8596.0,15
synthetic,synthetic_52.txt,100000,8364,90596,999938,535,154127,291.9677,1869.0429906542056,295.0,31730.0,120
synthetic,synthetic_53.txt,100000,7868,45862,293708,764,291277,380.53762,384.434554973822,501.0,22921.0,38
synthetic,synthetic_54.txt,53776,9,1246,40674,28966,13231364,456.7154678667063,1.4041980252710073,54.0,1479.0,4520
synthetic,synthetic_55.txt,100000,7248,56396,766722,235,65074,272.51519,3262.6468085106385,404.0,6604.0,106
synthetic,synthetic_56.txt,100000,667,846,619394,98550,33890576,343.96602,6.2850735667174025,164.0,2.0,929
synthetic,synthetic_57.txt,85376,14938,71520,141100,441,81047,185.54340798350825,319.9546485260771,492.0,31982.0,10
synthetic,synthetic_58.txt,55341,8049,46545,999892,172,33127,192.03809110785855,5813.325581395349,185.0,13215.0,125
synthetic,synthetic_59.txt,79746,22813,40840,203476,1160,104400,90.0,175.41034482758621,2.0,1.0,9
synthetic,synthetic_6.txt,77839,27367,18134,257631,882,82908,94.0,292.0986394557823,2.0,1.0,10
synthetic,synthetic_60.txt,77949,2437,64294,999991,77949,33626312,431.38862589641946,12.828785487947247,436.0,17324.0,411
synthetic,synthetic_61.txt,100000,8504,100000,92703,432,128454,300.76787,214.59027777777777,350.0,48801.0,11
synthetic,synthetic_62.txt,100000,7800,46358,999943,707,205966,286.71992,1414.3465346534654,92.0,35095.0,129
synthetic,synthetic_63.txt,52402,121,1050,329681,52202,19617790,375.81960612190375,6.315485996705107,16.0,481.0,2725
synthetic,synthetic_64.txt,93211,17807,37174,171274,518,94393,186.98715816802738,330.64478764478764,93.0,45327.0,10
synthetic,synthetic_65.txt,95490,24914,52437,225156,583,132057,224.32708136977695,386.2024013722127,152.0,4129.0,10
synthetic,synthetic_66.txt,66021,1483,58221,734728,65936,10272119,155.790021356841,11.143047803931085,396.0,41401.0,496
synthetic,synthetic_67.txt,71052,1106,44273,474386,65657,14116301,214.96295670776334,7.225215894725619,198.0,30862.0,429
synthetic,synthetic_68.txt,100000,6731,15589,654099,665,268333,404.45619,983.6075187969925,320.0,23719.0,98
synthetic,synthetic_69.txt,100000,11776,100000,179522,306,79479,262.97661,586.6732026143791,357.0,48621.0,16
synthetic,synthetic_7.txt,36407,5181,44619,999883,36407,28629888,786.3841568929053,27.464031642266598,373.0,41077.0,193
synthetic,synthetic_70.txt,100000,1544,8584,501031,726,249881,365.80114,690.125344352617,329.0,37090.0,325
synthetic,synthetic_71.txt,62281,10065,100000,106947,288,95460,336.044347393266,371.34375,270.0,37587.0,11
synthetic,synthetic_72.txt,81050,19860,88798,251281,646,104862,158.24206045650834,388.9798761609907,226.0,1372.0,13
synthetic,synthetic_73.txt,100000,6851,56069,999995,700,207169,292.73482,1428.5642857142857,163.0,31676.0,146
synthetic,synthetic_74.txt,100000,4993,7175,999839,208,60018,286.45108,4806.9182692307695,493.0,23894.0,201
synthetic,synthetic_75.txt,100000,7578,33769,999995,522,140755,276.45873,1915.6992337164752,112.0,31409.0,132
synthetic,synthetic_76.txt,100000,8044,20050,999878,563,223621,392.76882,1775.9822380106573,499.0,49461.0,125
synthetic,synthetic_77.txt,68708,28,487,191376,63866,10033866,157.08141701111953,2.996523972066514,2.0,1716.0,6835
synthetic,synthetic_78.txt,84383,3710,15310,999817,73073,43919310,600.839955915291,13.682440846824408,443.0,7484.0,270
synthetic,synthetic_79.txt,1783,2,110,1862,1396,93566,66.63712843522154,1.333810888252149,4.0,108.0,931
synthetic,synthetic_8.txt,100000,9281,78967,999969,736,213202,293.70257,1358.6535326086957,72.0,32779.0,108
synthetic,synthetic_80.txt,57016,8031,8548,999957,219,137454,646.1304546092325,4566.013698630137,360.0,6673.0,125
synthetic,synthetic_81.txt,89747,1494,854,791010,12334,4220033,346.7750676902849,64.13247932544186,120.0,7.0,530
synthetic,synthetic_82.txt,75255,9882,100000,126911,334,93157,282.08768852567937,379.97305389221555,325.0,25282.0,13
synthetic,synthetic_83.txt,100000,66,1051,203299,81142,21618653,266.47853,2.5054718887875578,15.0,436.0,3081
synthetic,synthetic_84.txt,96159,15584,39441,129713,700,79217,111.64617976476461,185.30428571428573,401.0,4357.0,9
synthetic,synthetic_85.txt,2823,1,1671,2823,2823,2597661,920.1774707757704,1.0,52.0,8.0,2823
synthetic,synthetic_86.txt,2369,1,2026,2369,2369,1869245,789.0439003799071,1.0,97.0,14.0,2369
synthetic,synthetic_87.txt,44743,4962,28335,999928,44731,17358009,388.0540419730461,22.35425096689097,280.0,34376.0,202
synthetic,synthetic_88.txt,100000,1000,255,507488,960,282331,288.75377,528.6333333333333,147.0,2.0,508
synthetic,synthetic_89.txt,42105,238,2022,15245,82,9015,118.07887424296402,185.91463414634146,34.0,17731.0,65
synthetic,synthetic_9.txt,100000,1323,10315,445144,98049,20791879,212.03231,4.540015706432498,360.0,17645.0,337
synthetic,synthetic_90.txt,78361,7931,58347,175090,457,177823,386.1428644351144,383.12910284463896,429.0,34318.0,23
synthetic,synthetic_91.txt,100000,5809,41682,999947,77023,17462184,226.64624,12.982446801604716,128.0,45429.0,173
synthetic,synthetic_92.txt,100000,3043,16887,998621,729,113425,157.84454,1369.8504801097395,296.0,18361.0,329
synthetic,synthetic_93.txt,88111,8937,32779,999942,128,103408,808.55910158777,7812.046875,292.0,37095.0,112
synthetic,synthetic_94.txt,41394,6904,35592,999965,41164,11282838,274.10622312412426,24.292221358468566,120.0,7129.0,145
synthetic,synthetic_95.txt,99079,10191,100000,171070,520,171405,348.0087909647857,328.9807692307692,395.0,38226.0,17
synthetic,synthetic_96.txt,100000,1237,675,653208,971,366595,390.89059,672.7167868177137,88.0,9.0,529
synthetic,synthetic_97.txt,100000,208,2966,995888,99972,46694254,467.08051,9.961669267394871,4.0,1528.0,4788
synthetic,synthetic_98.txt,93612,22301,55649,165128,821,213869,261.52248643336327,201.13032886723508,393.0,6955.0,8
synthetic,synthetic_99.txt,100000,8826,83462,999962,498,144539,295.04828,2007.9558232931727,231.0,24081.0,114
